"","Month","Wood Energy Production","Biofuels Production","Total Biomass Energy Production","Total Renewable Energy Production","Hydroelectric Power Consumption","Geothermal Energy Consumption","Solar Energy Consumption","Wind Energy Consumption","Wood Energy Consumption","Waste Energy Consumption","Biofuels Consumption","Total Biomass Energy Consumption","Total Renewable Energy Consumption"
"1",1973-01-01,129.63,"Not Available",129.787,219.839,89.562,0.49,"Not Available","Not Available",129.63,0.157,"Not Available",129.787,219.839
"2",1973-02-01,117.194,"Not Available",117.338,197.33,79.544,0.448,"Not Available","Not Available",117.194,0.144,"Not Available",117.338,197.33
"3",1973-03-01,129.763,"Not Available",129.938,218.686,88.284,0.464,"Not Available","Not Available",129.763,0.176,"Not Available",129.938,218.686
"4",1973-04-01,125.462,"Not Available",125.636,209.33,83.152,0.542,"Not Available","Not Available",125.462,0.174,"Not Available",125.636,209.33
"5",1973-05-01,129.624,"Not Available",129.834,215.982,85.643,0.505,"Not Available","Not Available",129.624,0.21,"Not Available",129.834,215.982
"6",1973-06-01,125.435,"Not Available",125.611,208.249,82.06,0.579,"Not Available","Not Available",125.435,0.176,"Not Available",125.611,208.249
"7",1973-07-01,129.616,"Not Available",129.787,207.8,77.4,0.614,"Not Available","Not Available",129.616,0.17,"Not Available",129.787,207.8
"8",1973-08-01,129.734,"Not Available",129.918,203.432,72.936,0.579,"Not Available","Not Available",129.734,0.184,"Not Available",129.918,203.432
"9",1973-09-01,125.603,"Not Available",125.782,185.3,59.029,0.49,"Not Available","Not Available",125.603,0.178,"Not Available",125.782,185.3
"10",1973-10-01,129.769,"Not Available",129.97,193.514,62.967,0.578,"Not Available","Not Available",129.769,0.2,"Not Available",129.97,193.514
"11",1973-11-01,125.492,"Not Available",125.643,195.326,69.063,0.62,"Not Available","Not Available",125.492,0.151,"Not Available",125.643,195.326
"12",1973-12-01,129.69,"Not Available",129.824,220.755,90.131,0.8,"Not Available","Not Available",129.69,0.135,"Not Available",129.824,220.755
"13",1974-01-01,130.655,"Not Available",130.807,231.01,99.5,0.704,"Not Available","Not Available",130.655,0.152,"Not Available",130.807,231.01
"14",1974-02-01,117.949,"Not Available",118.091,210.188,91.476,0.621,"Not Available","Not Available",117.949,0.142,"Not Available",118.091,210.188
"15",1974-03-01,130.579,"Not Available",130.727,226.384,94.95,0.707,"Not Available","Not Available",130.579,0.148,"Not Available",130.727,226.384
"16",1974-04-01,126.441,"Not Available",126.583,223.218,95.969,0.666,"Not Available","Not Available",126.441,0.142,"Not Available",126.583,223.218
"17",1974-05-01,130.659,"Not Available",130.789,227.793,96.337,0.667,"Not Available","Not Available",130.659,0.129,"Not Available",130.789,227.793
"18",1974-06-01,126.432,"Not Available",126.611,218.976,91.719,0.645,"Not Available","Not Available",126.432,0.179,"Not Available",126.611,218.976
"19",1974-07-01,130.548,"Not Available",130.756,221.909,90.437,0.716,"Not Available","Not Available",130.548,0.208,"Not Available",130.756,221.909
"20",1974-08-01,130.574,"Not Available",130.763,214.197,82.727,0.707,"Not Available","Not Available",130.574,0.189,"Not Available",130.763,214.197
"21",1974-09-01,126.454,"Not Available",126.637,200.9,73.61,0.653,"Not Available","Not Available",126.454,0.183,"Not Available",126.637,200.9
"22",1974-10-01,130.562,"Not Available",130.718,200.312,68.931,0.663,"Not Available","Not Available",130.562,0.156,"Not Available",130.718,200.312
"23",1974-11-01,126.352,"Not Available",126.506,200.068,72.773,0.789,"Not Available","Not Available",126.352,0.155,"Not Available",126.506,200.068
"24",1974-12-01,130.555,"Not Available",130.674,211.046,79.542,0.83,"Not Available","Not Available",130.555,0.119,"Not Available",130.674,211.046
"25",1975-01-01,127.128,"Not Available",127.269,214.319,86.356,0.694,"Not Available","Not Available",127.128,0.14,"Not Available",127.269,214.319
